gene_id	baseMn	l2fc	lfcSE	stat	pval	padj
TXNDC16	1.15e+02	0.09	0.13	7.36e-01	4.62e-01	1.00e+00
TXNDC17	1.57e+02	0.01	0.12	4.68e-02	9.63e-01	1.00e+00
TXNDC2	2.64e+00	1.56	0.74	2.11e+00	3.52e-02	1.00e+00
TXNDC5	1.76e+03	0.01	0.07	7.27e-02	9.42e-01	1.00e+00
TXNDC9	4.08e+02	-0.04	0.09	-4.92e-01	6.23e-01	1.00e+00
TXNIP	3.45e+02	0.04	0.15	2.78e-01	7.81e-01	1.00e+00
TXNL1	5.20e+02	-0.01	0.09	-1.08e-01	9.14e-01	1.00e+00
TXNL4A	5.92e+02	0.06	0.10	5.99e-01	5.49e-01	1.00e+00
TXNL4B	1.35e+02	0.14	0.14	1.04e+00	3.00e-01	1.00e+00
TXNRD1	2.00e+03	-0.02	0.09	-1.90e-01	8.49e-01	1.00e+00
TXNRD2	5.46e+01	-0.28	0.19	-1.46e+00	1.44e-01	1.00e+00
TXNRD3	7.27e+01	-0.01	0.15	-8.22e-02	9.35e-01	1.00e+00
TYK2	2.33e+02	0.04	0.13	2.89e-01	7.72e-01	1.00e+00
TYMP	8.17e+00	0.30	0.40	7.44e-01	4.57e-01	1.00e+00
TYMS	1.08e+03	-0.06	0.07	-7.78e-01	4.37e-01	1.00e+00
TYRO3	2.64e+02	0.06	0.11	5.62e-01	5.74e-01	1.00e+00
TYSND1	2.19e+01	0.13	0.27	4.69e-01	6.39e-01	1.00e+00
TYW1	2.86e+02	0.00	0.09	8.44e-03	9.93e-01	1.00e+00
TYW1B	1.97e+01	0.21	0.29	7.22e-01	4.70e-01	1.00e+00
TYW3	1.70e+02	-0.14	0.09	-1.43e+00	1.51e-01	1.00e+00
TYW5	6.53e+01	0.26	0.17	1.56e+00	1.19e-01	1.00e+00
U2AF1	8.64e+02	0.09	0.20	4.51e-01	6.52e-01	1.00e+00
U2AF1L4	1.50e+01	0.38	0.32	1.16e+00	2.47e-01	1.00e+00
U2AF1L5	9.25e+02	0.06	0.24	2.61e-01	7.94e-01	1.00e+00
U2AF2	9.44e+02	-0.06	0.10	-5.70e-01	5.69e-01	1.00e+00
U2SURP	1.07e+03	0.01	0.08	1.50e-01	8.81e-01	1.00e+00
UACA	1.68e+03	-0.04	0.11	-3.87e-01	6.99e-01	1.00e+00
UAP1	1.98e+02	0.25	0.10	2.38e+00	1.74e-02	1.00e+00
UAP1L1	5.86e+01	-0.41	0.20	-2.03e+00	4.19e-02	1.00e+00
UBA1	8.86e+02	-0.13	0.12	-1.10e+00	2.70e-01	1.00e+00
UBA2	1.09e+03	-0.01	0.07	-1.66e-01	8.68e-01	1.00e+00
UBA3	4.60e+02	-0.06	0.09	-6.34e-01	5.26e-01	1.00e+00
UBA5	6.27e+02	-0.06	0.08	-8.09e-01	4.18e-01	1.00e+00
UBA52	4.39e+02	-0.02	0.15	-1.36e-01	8.92e-01	1.00e+00
UBA6	6.55e+02	0.05	0.09	4.93e-01	6.22e-01	1.00e+00
UBA7	1.92e+00	0.80	0.97	8.26e-01	4.09e-01	1.00e+00
UBAC1	3.21e+02	-0.02	0.10	-1.70e-01	8.65e-01	1.00e+00
UBAC2	3.18e+02	-0.16	0.11	-1.45e+00	1.48e-01	1.00e+00
UBALD1	1.47e+01	0.36	0.31	1.14e+00	2.55e-01	1.00e+00
UBALD2	6.16e+01	0.25	0.17	1.47e+00	1.42e-01	1.00e+00
UBAP1	2.42e+02	-0.09	0.09	-9.67e-01	3.34e-01	1.00e+00
UBAP2	7.31e+02	-0.14	0.11	-1.30e+00	1.93e-01	1.00e+00
UBAP2L	1.59e+03	-0.16	0.10	-1.58e+00	1.15e-01	1.00e+00
UBASH3B	2.72e+02	0.21	0.15	1.42e+00	1.56e-01	1.00e+00
UBB	3.44e+03	-0.08	0.10	-7.52e-01	4.52e-01	1.00e+00
UBC	4.88e+03	0.01	0.10	1.20e-01	9.04e-01	1.00e+00
UBD	1.96e+01	0.41	0.43	9.57e-01	3.39e-01	1.00e+00
UBE2A	1.08e+03	0.12	0.12	9.59e-01	3.37e-01	1.00e+00
UBE2B	3.25e+02	-0.01	0.13	-1.02e-01	9.19e-01	1.00e+00
