gene_id	baseMn	l2fc	lfcSE	stat	pval	padj
SLC35A4	1.98e+02	0.02	0.13	1.26e-01	9.00e-01	1.00e+00
SLC35B1	2.29e+02	0.07	0.10	6.94e-01	4.88e-01	1.00e+00
SLC35B3	1.03e+02	0.20	0.12	1.67e+00	9.48e-02	1.00e+00
SLC35B4	4.42e+02	0.13	0.08	1.65e+00	9.90e-02	1.00e+00
SLC35C2	1.54e+02	0.03	0.16	1.67e-01	8.67e-01	1.00e+00
SLC35D1	1.07e+02	0.34	0.13	2.56e+00	1.04e-02	1.00e+00
SLC35D2	3.68e+02	0.03	0.11	3.03e-01	7.62e-01	1.00e+00
SLC35D3	5.05e-01	1.64	1.63	1.01e+00	3.14e-01	1.00e+00
SLC35E1	6.69e+02	0.12	0.12	9.88e-01	3.23e-01	1.00e+00
SLC35E2B	3.03e+02	0.05	0.11	5.05e-01	6.14e-01	1.00e+00
SLC35E4	1.77e+01	0.56	0.35	1.61e+00	1.07e-01	1.00e+00
SLC35F1	9.88e+00	0.47	0.34	1.40e+00	1.62e-01	1.00e+00
SLC35F2	5.33e+02	0.05	0.10	4.81e-01	6.31e-01	1.00e+00
SLC35F3	9.63e-01	0.83	1.38	6.05e-01	5.46e-01	1.00e+00
SLC35F6	1.11e+02	0.20	0.12	1.63e+00	1.03e-01	1.00e+00
SLC35G1	7.38e+01	0.18	0.17	1.09e+00	2.75e-01	1.00e+00
SLC35G2	2.16e+02	0.08	0.15	5.83e-01	5.60e-01	1.00e+00
SLC36A2	2.00e+00	0.14	1.09	1.32e-01	8.95e-01	1.00e+00
SLC36A4	1.70e+02	0.09	0.10	9.92e-01	3.21e-01	1.00e+00
SLC37A1	4.64e+01	0.19	0.21	9.48e-01	3.43e-01	1.00e+00
SLC38A1	7.17e+02	0.18	0.19	9.53e-01	3.41e-01	1.00e+00
SLC38A2	5.51e+03	0.10	0.12	8.68e-01	3.86e-01	1.00e+00
SLC38A3	6.11e-01	0.24	1.58	1.52e-01	8.79e-01	1.00e+00
SLC38A5	4.07e+00	0.61	0.64	9.62e-01	3.36e-01	1.00e+00
SLC38A9	3.11e+02	0.11	0.11	1.06e+00	2.87e-01	1.00e+00
SLC39A10	1.07e+03	0.10	0.10	1.07e+00	2.84e-01	1.00e+00
SLC39A11	1.49e+02	0.02	0.12	1.81e-01	8.56e-01	1.00e+00
SLC39A14	2.02e+02	0.01	0.15	9.12e-02	9.27e-01	1.00e+00
SLC39A6	3.15e+02	0.14	0.12	1.21e+00	2.27e-01	1.00e+00
SLC39A8	2.34e+02	0.07	0.11	6.12e-01	5.41e-01	1.00e+00
SLC39A9	4.67e+02	0.11	0.09	1.31e+00	1.92e-01	1.00e+00
SLC41A1	1.52e+02	0.15	0.11	1.37e+00	1.71e-01	1.00e+00
SLC41A3	1.02e+02	0.07	0.15	4.61e-01	6.45e-01	1.00e+00
SLC43A2	6.54e+01	0.01	0.18	7.51e-02	9.40e-01	1.00e+00
SLC43A3	2.45e+02	0.01	0.11	1.19e-01	9.06e-01	1.00e+00
SLC44A4	2.40e+00	0.24	1.07	2.26e-01	8.21e-01	1.00e+00
SLC44A5	3.43e+01	0.24	0.28	8.40e-01	4.01e-01	1.00e+00
SLC45A1	8.76e-01	0.27	1.23	2.19e-01	8.27e-01	1.00e+00
SLC45A3	2.55e+01	0.15	0.27	5.32e-01	5.94e-01	1.00e+00
SLC45A4	1.60e+03	0.02	0.11	1.59e-01	8.74e-01	1.00e+00
SLC47A1	1.70e+00	0.91	0.95	9.55e-01	3.39e-01	1.00e+00
SLC49A3	1.15e+01	0.02	0.35	6.78e-02	9.46e-01	1.00e+00
SLC49A4	2.70e+02	0.12	0.12	9.73e-01	3.31e-01	1.00e+00
SLC4A1	5.05e-01	1.27	2.08	6.08e-01	5.43e-01	1.00e+00
SLC4A2	2.99e+02	0.06	0.14	4.16e-01	6.78e-01	1.00e+00
SLC4A4	1.07e+02	0.05	0.22	2.30e-01	8.18e-01	1.00e+00
SLC4A5	4.08e+00	0.35	0.53	6.56e-01	5.12e-01	1.00e+00
