gene_id	baseMn	l2fc	lfcSE	stat	pval	padj
MVB12B	8.64e+01	-0.03	0.12	-2.54e-01	8.00e-01	1.00e+00
MVK	9.21e+01	-0.01	0.13	-1.07e-01	9.15e-01	1.00e+00
MVP	2.56e+01	-0.04	0.27	-1.57e-01	8.75e-01	1.00e+00
MXD1	2.78e+01	-0.05	0.22	-2.49e-01	8.04e-01	1.00e+00
MXD3	1.18e+01	-0.45	0.44	-1.02e+00	3.08e-01	1.00e+00
MXRA5	8.02e+00	-0.10	0.38	-2.69e-01	7.88e-01	1.00e+00
MXRA7	8.55e+02	-0.11	0.08	-1.28e+00	2.01e-01	1.00e+00
MXRA8	8.14e+00	-0.61	0.42	-1.46e+00	1.44e-01	1.00e+00
MYBL2	1.00e+02	-0.31	0.16	-1.97e+00	4.92e-02	1.00e+00
MYBPC2	1.07e+00	-0.04	1.16	-3.34e-02	9.73e-01	1.00e+00
MYCBP2	9.96e+02	-0.06	0.20	-3.08e-01	7.58e-01	1.00e+00
MYCN	3.76e+01	-0.24	0.21	-1.15e+00	2.51e-01	1.00e+00
MYCT1	1.21e+03	-0.01	0.11	-1.29e-01	8.97e-01	1.00e+00
MYDGF	4.00e+02	-0.17	0.16	-1.05e+00	2.92e-01	1.00e+00
MYH10	4.74e+03	-0.05	0.13	-4.16e-01	6.77e-01	1.00e+00
MYH13	6.97e+00	-0.46	0.52	-8.81e-01	3.79e-01	1.00e+00
MYH14	8.66e+01	-0.15	0.15	-9.73e-01	3.31e-01	1.00e+00
MYH3	1.15e+01	-0.04	0.36	-1.18e-01	9.06e-01	1.00e+00
MYH6	2.97e+00	-1.37	0.80	-1.71e+00	8.66e-02	1.00e+00
MYH7B	1.67e+00	-1.63	0.94	-1.72e+00	8.47e-02	1.00e+00
MYH9	2.40e+04	-0.08	0.12	-6.68e-01	5.04e-01	1.00e+00
MYL12A	4.85e+03	-0.09	0.10	-8.58e-01	3.91e-01	1.00e+00
MYL12B	2.58e+03	-0.06	0.10	-5.54e-01	5.80e-01	1.00e+00
MYL5	1.41e+01	-0.39	0.32	-1.22e+00	2.24e-01	1.00e+00
MYL6	2.16e+04	-0.03	0.09	-3.69e-01	7.12e-01	1.00e+00
MYL6B	2.55e+02	-0.01	0.10	-1.37e-01	8.91e-01	1.00e+00
MYLK	2.46e+02	-0.01	0.10	-1.13e-01	9.10e-01	1.00e+00
MYLK2	7.31e-01	-1.10	1.65	-6.67e-01	5.05e-01	1.00e+00
MYNN	1.42e+02	-0.05	0.11	-4.57e-01	6.48e-01	1.00e+00
MYO10	3.82e+03	-0.07	0.11	-6.45e-01	5.19e-01	1.00e+00
MYO16	8.62e-01	-1.73	1.31	-1.31e+00	1.89e-01	1.00e+00
MYO18A	1.18e+03	-0.08	0.15	-5.49e-01	5.83e-01	1.00e+00
MYO19	5.82e+01	-0.11	0.24	-4.49e-01	6.53e-01	1.00e+00
MYO1C	1.46e+03	-0.02	0.08	-2.50e-01	8.03e-01	1.00e+00
MYO1D	1.61e+02	-0.09	0.14	-6.85e-01	4.94e-01	1.00e+00
MYO1E	6.69e+02	-0.06	0.10	-5.44e-01	5.86e-01	1.00e+00
MYO3A	3.36e+01	-0.04	0.21	-2.13e-01	8.31e-01	1.00e+00
MYO3B	3.50e+00	-1.10	0.75	-1.48e+00	1.38e-01	1.00e+00
