gene_id	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
EXOSC9	882.7	806.79	884.79	640.6	476.65	742.99	722.68	287.75	467.6	633.73	540.48	788.12
EXPH5	350.02	106.87	115.51	82.69	67.26	134.93	121.08	40.25	194.52	39.37	45.12	40.22
EXT1	1408.6	1876.17	683.87	1541.01	1552	1836.15	2428	1154	2393.45	1504.56	2182.05	2019.19
EXT2	6066.13	13086.38	7033.72	9746.07	10553.98	12024	11377.95	5672	7990.04	8208	9132.07	9090.43
EXTL1	0	4	0	0	0	4	0	0	0	0	0	0
EXTL2	791.09	1712	761.02	1034.71	1447	1563.78	1083.94	450	874	588	918.01	802
EXTL3	11531.94	13738	8304	13812.15	14608.95	15750.49	11626.98	7114	8287.08	8663	9760	9242.94
EYA1	0	12	0	9	26	6	0	16	3	3	2	0
EYA2	0	0	0	0	0	0	0	0	0	0	0	0
EYA3	483.93	601.65	377.11	644.72	530.53	543.9	1126.95	595.97	1511.03	422.12	688.12	808.99
EYA4	0	20	0	4	2	9	12	0	13	22	10	2
EYS	0	16	24	28	2.4	16	0	0	16	8	14	0
EZH1	230	418	182	360.75	275	414	433.14	100	633	333	225	339
EZH2	229	407	471.76	441.92	442	560	355	161	374.77	289	450.97	372.99
EZR	8581.01	11036.55	6625.03	9429.3	5918.49	8998.63	17984.55	5412.94	14481.97	10314.51	9992.25	12020.83
F10	0	20	18	14	0	0	31	4	0	20	2	0
F11	0	0	0	0	0	0	0	0	0	0	0	0
F11R	15315.73	19862.03	12081.93	29392.33	22402.94	25422.79	23994.11	9015.96	15185.14	21471.51	14696.31	16557.12
F12	177	89	202	208.94	92	88	42	42	40	61	84	112
F13A1	0	6	12	0	40	35	14	0	0	26	18	0
F13B	0	0	0	0	0	0	0	0	0	0	0	0
F2	0	0	0	0	0	0	0	0	2	0	0	0
F2R	11132.07	23276.67	9043.77	17836.48	23195.71	23003.01	15460.63	8836.35	16091.08	12365.72	15319.24	13657.64
F2RL1	345	585.58	170	359	349	356	149	150	241	43	310	122.03
F2RL2	3941	5872	2869.9	5309.95	8147.3	7074.95	2620.01	5212.57	2459	2426.9	2017	1545.01
F2RL3	261.97	217.24	298.63	351.32	204.47	239.44	2923.92	1612.02	2054.44	899.41	876.82	1893.49
F3	15	2.12	0	5	10	16.2	70	113	80.95	30	16	9.98
F5	0	4.97	0	0	0	0	24.76	0	38.69	14	0	0
F7	0	0	0	0	0	0	0	0	6	0	0	0
F8	62	74	66	134	96	80	153	46	164	64	156	167
F8A1	1208.02	2585	1998	2279	1727.55	2061	3536.06	1421.72	1617.13	1648	1608.92	2541.74
F8A2	0	0	0	0	35.22	0	0	41.56	95.97	0	54.04	2.63
F8A3	0	0	0	0	35.22	0	0	41.56	95.97	0	54.04	2.63
F9	0	0	0	0	0	0	0	0	0	0	0	0
FA2H	0	0	0	0	0	0	4	0	6	0	12	0
FAAH	74	62	0	47	30	64	52	16	34	16	62	47
FAAH2	0	0	0	0	0	2	0	0	7	2	4	0
FABP1	0	0	0	0	0	0	0	0	0	0	0	0
FABP12	0	0	0	0	0	0	0	0	0	0	0	0
FABP2	0	0	0	0	0	0	0	0	0	0	0	0
FABP3	35	115	210	16	35	95	2674	967	1836.99	1237.29	1458.98	6944.05
FABP4	11237.98	6708	11449.55	4498.89	6525.21	4312	1658	2475	733	1894	811	1198
FABP5	12479.93	9683.94	11182.27	7285.46	8341.95	5964.72	3370	2791.06	1242.85	3970	2506	2661.76
FABP6	0	0	0	0	0	4	0	0	0	0	0	0
FABP7	0	0	0	12	0	0	0	0	0	0	0	0
FABP9	0	0	0	0	0	0	0	0	0	0	0	0
FADD	2910	3547	3443	3610.99	3603.97	3534	4318	1959	2573	3753.01	3561	4779.96
FADS1	822.6	4411.01	1151	3498.74	3275.56	4765.87	8241.85	3361	8560.41	5414.01	7684.24	9999.61
FADS2	6546.97	23449.01	9438.06	20225.99	15088.53	22262.06	46846.7	17303.39	34789.33	40893.07	40212.74	55494.6
FADS3	967	1614.99	1382	1545	1087	1340	1340	1872	1268	1779	1215	1705.17
FADS6	2.43	0	0	3	13.35	0	7.01	0	5.41	5.16	0	0
FAF1	1587	1855.5	1416.15	1507	1717	1884	2084	718	1253.94	1612	1348	1968
FAF2	1900	3237.81	1693	2506.68	2980.04	3265	3506.2	2016	3481.27	2544.53	3422.33	3682.85
FAH	484	564	527	489	492	464	276	265	158	269	206	227
FAHD1	2159.79	3100.34	2179.27	2898.54	2569.04	2846.64	3451.92	1480.01	1827.43	3061.42	2344.45	3429.42
FAHD2A	1849.32	1536.33	1417.64	1596.13	1209.69	1376.05	1111.86	226.8	451.42	897.08	716.12	893.46
FAHD2B	1102.68	900	1127.35	770.85	829.25	912.95	411.23	69.17	94.42	327.92	153.05	265.54
FAIM	251	206	216	301	326.78	342	204	48	187.01	175	193	116
FAIM2	0	0	0	0	0	0	0	0	0	0	0	2
FAIM3	500	939	611	723.15	710.94	952.01	981.71	86	444.75	707.47	470.65	215.76
FAM100A	2440.05	1966.74	2487.08	1940.94	1111	1479	2318	1032	1590.82	1888.15	1078.16	1615.57
FAM100B	8237.33	5863.42	7854.12	4831.45	3659.57	4977.72	8204.96	4498.19	4230.82	4977.14	4394.77	5625.32
FAM101A	888	249	487	175.92	333	141.95	261.97	4	7.19	238	51	62
FAM101B	9924.76	14896.1	8988.62	14703.94	10682.88	14351.38	10564.16	5734.19	8364.43	10012.17	8802.53	7939.45
FAM102A	1443.02	2449.83	1847.36	4024.89	2660.08	4243.01	6982.96	2869.81	3008.34	3825	2722.74	2392.86
FAM102B	499	793	529	747	904.22	972.99	889.01	368	1102.03	686	759	636.01
FAM103A1	1579.07	1656	1787	1256.98	1478	1513.74	1707.71	1058	865	1468.57	1564.86	1963.59
FAM104A	1097.55	1378.5	908.5	1495.61	1153.05	1508.64	1853.35	1003.12	1186.17	1057.34	1276.13	1623.43
FAM104B	373	378	610	279	554	421	394	161	159	414	210	384
FAM105A	102.96	90	2	134	131.5	164.99	239.91	71.99	136.78	165.03	205	88.01
FAM105B	1103.8	1243.78	700.76	1212.06	863.96	1298.95	1797.35	942	1823.51	1085.99	1279	1424.03
FAM107A	0	51	0	40	8	66	80	68	222	50	92	292
FAM107B	4343.22	9048.7	4732.13	7182.98	6722.08	8816.63	10519.42	4046.11	6142.28	7610.7	7528.24	6892.6
FAM108A1	38899.83	35302.86	46516.87	36984.65	33897.93	32092.73	45188.17	19516.94	19332.81	46614.52	36430.85	37942.37
FAM108B1	531.32	1284.33	532.01	1160.02	1156.3	1279	1378.01	909.03	1100.67	764.24	1170.51	1183.51
FAM108C1	249	393.27	355	321	394	269.05	232	66	161	165	134	109
FAM109A	1209	1331.36	1217	1235	1200.27	922	1432.16	753	962.54	1210.55	979	1143.96
FAM109B	0	0	0	14	0	0	0	0	0	0	0	0
FAM110A	1239	1415	1710	1136.69	704	1277	2694	987	1564	1849	1854	2409
FAM110B	596	503	324	502	235	373	257	173	181	148	77	140.98
FAM110C	0	0	0	0	0	0	0	22	2	0	0	6
FAM110D	166	165	330	352	224	185	153	70	115	158	237	103
FAM111A	261	195.82	148.51	228.7	315.2	366.93	366.25	61	464.17	116.6	151	207.92
FAM111B	48	25	33.15	39	23	40	29.31	4	51.53	0	18	20
FAM113A	1559.88	1760.05	1397.01	1928	1949	1771	933.26	270	855.23	925.97	708.22	909
FAM113B	43	118	145	84	76	76	38	2	40	27	22	16
FAM114A1	1507.42	1909.76	1246.32	1576.93	1085.99	1416.8	1831.55	1219.62	2752.05	1449.01	1761.15	1844.62
FAM114A2	438	1255	633	1022	1278	1280	915	513	636	887	774	883
FAM115A	1337.09	2174	777.08	1961.23	1598.01	2676	2842	860	3208.71	1157.82	2040	1628.89
FAM115C	0	47.99	0	40.84	12	121.96	100.93	80.8	282.87	134.87	139.42	54.37
FAM116A	872.92	1233.57	712.09	1217.29	1150.98	1355.77	2005.58	634.64	1584.85	1040.38	913.18	1060.76
FAM116B	244	177	228	281	103	96	164	57	187	94	83	117
FAM117A	176	190	213	333	285	191	180.95	114	161	198	150	210
FAM117B	228.28	180.94	25.81	165.54	167.85	123.33	216.11	76.97	192.18	64.8	56.47	49.69
FAM118A	135.96	150.06	21	104.9	91.96	95.19	150.01	91.13	535.36	13	62.99	168
FAM118B	1784.3	2232.99	2477.01	1771.12	2637.11	2385.36	2116.08	1655	1378.9	1953.69	2022.29	2476
FAM120A	844.2	2224.12	813.91	1799.18	1645	2568.68	3224.73	1360.98	5206.85	1748.29	2815.23	2937.35
FAM120AOS	780	1909.93	1558.09	1539.08	1701.07	1890.51	1683.4	680.14	864.94	1380.27	1254.77	1626.85
FAM120B	930.35	1622.04	1095	1262	1521	1505	1496.89	513	1170	1160	1206	1233.99
FAM120C	154	194.05	138	210	197	189	332	240.09	284.05	209	127	175
FAM122A	317	701	358	712	582	1113	1254	583	970	705	1199	1094.98
FAM122B	332	426.21	216	404	366	598	781.01	524.2	1004	401	501	491
FAM122C	38.34	60.36	89	89.09	71.29	52.98	56.05	14	88.99	50.46	27	53
FAM123A	0	0	0	0	0	0	0	0	0	0	0	0
FAM123B	40	198	6	133	124	121.55	117	66	203.94	62	108	34
FAM123C	0	0	14	0	0.47	0	0	2.1	1.79	0	0	3
FAM124A	306.6	659.29	476.08	494.44	553	772.96	1367.79	933.8	2121.9	727.42	1640.94	1607.9
FAM124B	4698.96	11369	6283	10346.25	10450.94	12497.95	8567	10438.59	7711.98	6803.7	9156	11610.69
FAM125A	12952.69	9312.23	13100.55	9559.34	7799.48	8168.08	5309.97	1922.99	1870.85	4782	2791.63	3920.3
FAM125B	256	492	227	384	363.97	558	536	273	330	300	238	386
FAM126A	948	2375	728	1681.99	1675.03	2489	1971	1138	2823.97	1284.23	2471.04	2433.98
FAM126B	408.71	388.48	330.15	288.34	218.38	379.71	623.63	215.26	1187.35	332.41	533.54	576.49
FAM127A	9266	15328.14	13186.02	14546.18	11298.02	11681.56	17347.9	7035.95	8477.03	14470.05	10584.02	13331.13
